"id";"cpf";"nome";"sigla";"siglaEstado";"vice";"vicecpf";"cargo"
1;"";"CIRO FERREIRA GOMES";"PDT";"";0;0;"presidente"
2;"";"JOSE MARIA EYMAEL";"DC";"";0;0;"presidente"
3;"";"LUIZ FELIPE CHAVES D'AVILA";"NOVO";"";0;0;"presidente"
4;"";"JAIR MESSIAS BOLSONARO";"PL";"";0;0;"presidente"
5;"";"LEONARDO PÉRICLES VIEIRA ROQUE";"UP";"";0;0;"presidente"
6;"";"LUIZ INÁCIO LULA DA SILVA";"PT";"";0;0;"presidente"
7;"";"PABLO HENRIQUE COSTA MARÇAL";"PROS";"";0;0;"presidente"
8;"";"KELMON LUIS DA SILVA SOUZA";"PTB";"";0;0;"presidente"
9;"";"ROBERTO JEFFERSON MONTEIRO FRANCISCO";"PTB";"";0;0;"presidente"
10;"";"SIMONE NASSAR TEBET";"MDB";"";0;0;"presidente"
11;"";"SOFIA PADUA MANZANO";"PCB";"";0;0;"presidente"
12;"";"SORAYA VIEIRA THRONICKE";"UNIÃO";"";0;0;"presidente"
13;"";"VERA LUCIA PEREIRA DA SILVA SALGADO";"PSTU";"";0;0;"presidente"
14;"";"ANA PAULA ANDRADE MATOS MOREIRA";"PDT";"";0;0;"vice-presidente"
15;"";"ANTONIO ALVES DA SILVA JUNIOR";"PCB";"";0;0;"vice-presidente"
16;"";"WALTER SOUZA BRAGA NETTO";"PL";"";0;0;"vice-presidente"
17;"";"FATIMA APARECIDA SANTOS DE SOUZA";"PROS";"";0;0;"vice-presidente"
18;"";"GERALDO JOSÉ RODRIGUES ALCKMIN FILH";"PSB";"";0;0;"vice-presidente"
19;"";"MARA CRISTINA GABRILLI";"PSDB";"";0;0;"vice-presidente"
20;"";"MARCOS CINTRA CAVALCANTI DE ALBUQUERQUE";"UNIÃ";"";0;0;"vice-presidente"
21;"";"KELMON LUIS DA SILVA SOUZA";"PTB";"";0;0;"vice-presidente"
22;"";"LUIZ CLAUDIO MEDEIROS DA FONSECA GAMONAL";"PTB";"";0;0;"vice-presidente"
23;"";"JOAO BARBOSA BRAVO";"DC";"";0;0;"vice-presidente"
24;"";"RAQUEL AGUIAR SANTOS";"PSTU";"";0;0;"vice-presidente"
25;"";"SAMARA MARTINS DA SILVA";"UP";"";0;0;"vice-presidente"
26;"";"TIAGO LIMA MITRAUD DE CASTRO LEITE";"NOVO";"";0;0;"vice-presidente"
27;"";"ANTONIO CARLOS DE OLIVEIRA";"PSB";"SP";0;0;"deputado federal"
28;"";"ABNER JOAS TOFANELLI";"PDT";"SP";0;0;"deputado federal"
29;"";"PAULO SERGIO ABOU ANNI";"UNIÃO";"SP";0;0;"deputado federal"
30;"";"ABRAHAM BRAGANÇA DE VASCONCELLOS WEINTRAUB";"PMB";"SP";0;0;"deputado federal"
31;"";"ADALBERTO FELICIO MALUF FILHO";"PV";"SP";0;0;"deputado federal"
32;"";"ADAMARIO MAXIMO DOS SANTOS FILHO";"NOVO";"SP";0;0;"deputado federal"
33;"";"ADAUTO BENTIVEGNA FILHO";"AVANTE";"SP";0;0;"deputado federal"
34;"";"ADELAIDE CASTRO DE OLIVEIRA";"PODE";"SP";0;0;"deputado federal"
35;"";"ADELSON DE SOUZA PENHA";"AGIR";"SP";0;0;"deputado federal"
36;"";"ADEMILSON DA CONCEIÇÃO CUNHA";"REPUBLICANOS";"SP";0;0;"deputado federal"
37;"";"ADEMIR DA PENHA CLEMENTE";"PRTB";"SP";0;0;"deputado federal"
38;"";"ADEMIR RODRIGUES PEREIRA";"AVANTE";"SP";0;0;"deputado federal"
39;"";"ADÉRITO CÁSSIO DE ASSIS DUTRA";"PSOL";"SP";0;0;"deputado federal"
40;"";"ADEVAR CAMPANA";"PATRIOTA";"SP";0;0;"deputado federal"
41;"";"ADILSON BARROSO OLIVEIRA";"PL";"SP";0;0;"deputado federal"
42;"";"ADILSON DE BRITO FARIAS";"NOVO";"SP";0;0;"deputado federal"
43;"";"ADONIAS FERREIRA DOS SANTOS";"PRTB";"SP";0;0;"deputado federal"
44;"";"ADRIANA RAMOS AFONSO EL RIFAI";"PTB";"SP";0;0;"deputado federal"
45;"";"ADRIANA ALVES DA SILVA RAMALHO";"PSD";"SP";0;0;"deputado federal"
46;"";"ADRIANA PIERIN";"AVANTE";"SP";0;0;"deputado federal"
47;"";"ADRIANA MIGUEL VENTURA";"NOVO";"SP";0;0;"deputado federal"
48;"";"ADRIANA GLEDYS ZINK";"PSDB";"SP";0;0;"deputado federal"
49;"";"ADRIANO GUIMARÃES SIMÕES";"PP";"SP";0;0;"deputado federal"
50;"";"ADRIANO CESAR DA SILVEIRA ZAMBELLI";"PDT";"SP";0;0;"deputado federal"
51;"";"ADRILLES REIS JORGE";"PTB";"SP";0;0;"deputado federal"
52;"";"ROSINETE DA SILVA MOREIRA";"PTB";"SP";0;0;"deputado federal"
53;"";"AGNALDO APARECIDO DE ARAUJO";"AVANTE";"SP";0;0;"deputado federal"
54;"";"AGNALDO CRUZ DE OLIVEIRA";"PSD";"SP";0;0;"deputado federal"
55;"";"AGNALDO JOSÉ DOS SANTOS";"PMB";"SP";0;0;"deputado federal"
56;"";"AGOSTINHO FERREIRA GOMES";"PSOL";"SP";0;0;"deputado federal"
