id;nome_municipio;populacao
1; 'Afonso Cláudio;3200102
2; 'Água Doce do Norte;3200169
3; 'Águia Branca;3200136
4; 'Alegre';3200201
5; 'Alfredo Chaves';3200300
6; 'Alto Rio Novo';3200359
7; 'Anchieta';3200409
8; 'Apiacá;3200508
9; 'Aracruz';3200607
10; 'Atilio Vivacqua';3200706
11; 'Baixo Guandu';3200805
12; 'Barra de São Francisco;3200904
13; 'Boa Esperança;3201001
14; 'Bom Jesus do Norte';3201100
15; 'Brejetuba';3201159
16; 'Cachoeiro de Itapemirim';3201209
17; 'Cariacica';3201308
18; 'Castelo';3201407
19; 'Colatina';3201506
20; 'Conceição da Barr;3201605
21; 'Conceição do Castel;3201704
22; 'Divino de São Lourenç;3201803
23; 'Domingos Martins';3201902
24; 'Dores do Rio Preto';3202009
25; 'Ecoporanga';3202108
26; 'Fundão;3202207
27; 'Governador Lindenberg';3202256
28; 'Guaçu�;3202306
29; 'Guarapari';3202405
30; 'Ibatiba';3202454
31; 'Ibiraçu;3202504
32; 'Ibitirama';3202553
33; 'Iconha';3202603
34; 'Irupi';3202652
35; 'Itaguaçu;3202702
36; 'Itapemirim';3202801
37; 'Itarana';3202900
38; 'Iúna;3203007
39; 'Jaguaré;3203056
40; 'Jerônimo Monteiro;3203106
41; 'João Neiva;3203130
42; 'Laranja da Terra';3203163
43; 'Linhares';3203205
44; 'Mantenópolis;3203304
45; 'Marataízes;3203320
46; 'Marechal Floriano';3203346
47; 'Marilândia;3203353
48; 'Mimoso do Sul';3203403
49; 'Montanha';3203502
50; 'Mucurici';3203601
51; 'Muniz Freire';3203700
52; 'Muqui';3203809
53; 'Nova Venécia;3203908
54; 'Pancas';3204005
55; 'Pedro Canário;3204054
56; 'Pinheiros';3204104
57; 'Piúma;3204203
58; 'Ponto Belo';3204252
59; 'Presidente Kennedy';3204302
60; 'Rio Bananal';3204351
61; 'Rio Novo do Sul';3204401
62; 'Santa Leopoldina';3204500
63; 'Santa Maria de Jetibá;3204559
64; 'Santa Teresa';3204609
65; 'São Domingos do Norte;3204658
66; 'São Gabriel da Palha;3204708
67; 'São José do Calça;3204807
68; 'São Mateus;3204906
69; 'São Roque do Cana�;3204955
70; 'Serra';3205002
71; 'Sooretama';3205010
72; 'Vargem Alta';3205036
73; 'Venda Nova do Imigrante';3205069
74; 'Viana';3205101
75; 'Vila Pavão;3205150
76; 'Vila Valério;3205176
77; 'Vila Velha';3205200
78; 'Vitória;3205309
79; 'Acrelândia;1200013
80; 'Assis Brasil';1200054
81; 'Brasiléia;1200104
82; 'Bujari';1200138
83; 'Capixaba';1200179
84; 'Cruzeiro do Sul';1200203
85; 'Epitaciolândia;1200252
86; 'Feijó;1200302
87; 'Jordão;1200328
88; 'Mâncio Lima;1200336
89; 'Manoel Urbano';1200344
90; 'Marechal Thaumaturgo';1200351
91; 'Plácido de Castro;1200385
92; 'Porto Acre';1200807
93; 'Porto Walter';1200393
94; 'Rio Branco';1200401
95; 'Rodrigues Alves';1200427
96; 'Santa Rosa do Purus';1200435
97; 'Sena Madureira';1200500
98; 'Senador Guiomard';1200450
99; 'Tarauacá;1200609
100; 'Xapuri';1200708
101; 'Água Branca;2700102
102; 'Anadia';2700201
103; 'Arapiraca';2700300
104; 'Atalaia';2700409
105; 'Barra de Santo Antônio;2700508
106; 'Barra de São Miguel;2700607
107; 'Batalha';2700706
108; 'Belém;2700805
109; 'Belo Monte';2700904
110; 'Boca da Mata';2701001
111; 'Branquinha';2701100
112; 'Cacimbinhas';2701209
113; 'Cajueiro';2701308
114; 'Campestre';2701357
115; 'Campo Alegre';2701407
116; 'Campo Grande';2701506
117; 'Canapi';2701605
118; 'Capela';2701704
119; 'Carneiros';2701803
120; 'Chã Preta;2701902
121; 'Coité do Nói;2702009
122; 'Colônia Leopoldina;2702108
123; 'Coqueiro Seco';2702207
124; 'Coruripe';2702306
125; 'Craíbas;2702355
126; 'Delmiro Gouveia';2702405
127; 'Dois Riachos';2702504
128; 'Estrela de Alagoas';2702553
129; 'Feira Grande';2702603
130; 'Feliz Deserto';2702702
131; 'Flexeiras';2702801
132; 'Girau do Ponciano';2702900
133; 'Ibateguara';2703007
134; 'Igaci';2703106
135; 'Igreja Nova';2703205
136; 'Inhapi';2703304
137; 'Jacaré dos Homens;2703403
138; 'Jacuípe;2703502
139; 'Japaratinga';2703601
140; 'Jaramataia';2703700
141; 'Jequiá da Praia;2703759
142; 'Joaquim Gomes';2703809
143; 'Jundiá;2703908
144; 'Junqueiro';2704005
145; 'Lagoa da Canoa';2704104
146; 'Limoeiro de Anadia';2704203
147; 'Maceió;2704302
148; 'Major Isidoro';2704401
149; 'Mar Vermelho';2704906
150; 'Maragogi';2704500
151; 'Maravilha';2704609
152; 'Marechal Deodoro';2704708
153; 'Maribondo';2704807
154; 'Mata Grande';2705002
155; 'Matriz de Camaragibe';2705101
156; 'Messias';2705200
157; 'Minador do Negrão;2705309
158; 'Monteirópolis;2705408
159; 'Murici';2705507
160; 'Novo Lino';2705606
161; 'Olho d`Água das Flores;2705705
162; 'Olho d`Água do Casado;2705804
163; 'Olho d`Água Grande;2705903
164; 'Olivença;2706000
165; 'Ouro Branco';2706109
166; 'Palestina';2706208
167; 'Palmeira dos Índios;2706307
168; 'Pão de Açúc;2706406
