cpf;nome;Sigla
1600;ABDULBASET JAROUR;PSB
1601;ABELARDO WANDERLINO DA COSTA NETO;REPUBLICANOS
1602;ABIDAN HENRIQUE DA SILVA;PSB
1603;ABNER DELUQUI ISIDORO;REPUBLICANOS
1604;VITOR ABOU ANNI;UNIÃO
1605;ADA HENRIQUE XAVIER;PTB
1606;ADALBERTO GODOY FREITAS;PSDB
1607;JOSE CARLOS ADAO;PSD
1608;ADÃO DA SILVA;PROS
1609;ADENILDES ALVES ROCHA;SOLIDARIEDADE
1610;ADÉLIA OLIVEIRA DE FARIAS;PT
1611;ADELMACIR DE SOUZA;PMB
1612;ADENILSON PEREIRA DE AMORIM;UNIÃO
1613;ADENILTON FERREIRA DA SILVA;SOLIDARIEDADE
1614;ADILSON DOS SANTOS;PSTU
1615;ADILSON DE SOUZA ROCHA;SOLIDARIEDADE
1616;ADMILSON DE SOUZA;UNIÃO
1617;ADONAI DOS SANTOS SOARES JÚNIOR;AVANTE
1618;ADRIANA SANTOS BARRENHA;AGIR
1619;ADRIANA SANCHES GALDEANO BORGO;AGIR
1620;ADRIANA COELHO DE OLIVEIRA;PMN
1621;ADRIANA APARECIDA FELIX;PP
1622;ADRIANA SCANAVEZ DOS SANTOS;PSOL
1623;ADRIANA GLEDYS ZINK;PSDB
1624;ADRIANA GOMES;PDT
1625;ANDROMEDES BARBOSA OKABE;PL
1626;ADRIANA NOGUEIRA DO PRADO;PATRIOTA
1627;ADRIANA RANGEL RIBEIRO;PMB
1628;ADRIANA SOUZA DOS SANTOS PEREIRA;AVANTE
1629;ADRIANO BEDORE;PSDB
1630;ADRIANO DE BARROS CARUSO;PTB
1631;FRANCISCO ADRIANO MACENA DE ALMEIDA;PRTB
1632;EWERTON DA SILVA CARVALHO;PC do B
1633;AFONSO MARIA SILVA SALES;PTB
1634;DANILO MASCARENHAS DE BALAS;PL
1635;LUIZ FERNANDO PIVA CRUZ;PSD
1636;SÉRGIO DONIZETE FERREIRA;PODE
1637;ANTONIO AGNALDO DOS SANTOS;PROS
1638;JOSÉ AGRIPINO DA SILVA;MDB
1639;AILDO RODRIGUES FERREIRA;REPUBLICANOS
1640;AILTON AMARAL DOS SANTOS;PSOL
1641;AIRTON DA COSTA LOURENÇO;PDT
1642;ÁKILA SEVERO DE AZEVEDO;PROS
1643;ALAINE SILVA SOUZA SANTOS;PATRIOTA
1644;JOSE ALAOR FERNANDES ROSSI;PATRIOTA
1645;ALBERTO DE HOLLANDA HADDAD;PP
1646;ALBERTO SABINO DE OLIVEIRA;PP
1647;ANTONIO CARLOS ALBINO;PL
1648;VALDIR SOARES DE ALBUQUERQUE;SOLIDARIEDADE
1649;JOSE ALDO DEMARCHI;UNIÃO
1650;ALDO ALMEIDA;AGIR
1651;ALEXSANDRA OLIVEIRA BEZERRA;PDT
1652;ALEXANDRE EUGENIO BATISTA;PROS
1653;ALESSANDRA VECCHIO SOBRINHO;PMN
1654;ALEXANDRE GONÇALVES DEMETRIO ZAHRA;PTB
1655;GETULIO ALEGRE DOS SANTOS;PATRIOTA
1656;CARLOS ALBERTO MARCOS;PT
1657;JOSE CANDIDO DA SILVA;DC
1658;EDEMIR DE MELO;UNIÃO
1659;ALENATO MARTINS VIDAL;AGIR
1660;ALESSANDRA ABE;PMB
1661;ALESSANDRA CRISTIANE SOARES GARCIA ALGARIN;PODE
1662;ALESSANDRA VIEIRA DE CAMARGO TELES;PSDB
1663;ALESSANDRA ALMEIDA PEREIRA;PL
1664;ALESSANDRA JULIO PAES;SOLIDARIEDADE
1665;ALESSANDRA BELLUCCI;REPUBLICANOS
1666;ALESSANDRO CÉZAR ARAÚJO AZEVEDO;PT
1667;ALESSANDRO FAUSTINO MARTINS;PDT
1668;ALEUSON ROSA DA SILVA;PRTB
1669;ALEXSANDER MELO BUENO;PDT
1670;ALEX CANUTO DE SÁ CUNHA;PROS
1671;ALEXANDER MUNIZ DE OLIVEIRA;PL
1672;ALEX SANDRO BENTO FERNANDES;PATRIOTA
1673;ALEX FABIANO COSTA GARCIA;AGIR
1674;ALEX SANDRO GOMES;PT
1675;ALEXANDRO DE ARAÚJO;PSD
